5c:ca:1a:0b:1a:e8, 1542449885, 1542449955, patricia, 70
5c:ca:1a:0b:1a:e8, 1542449945, 1542449955, patricia, 10
30:07:4d:de:5a:04, 1542449536, 1542449957, patricia, 421
64:d1:a3:29:2a:59, 1542449909, 1542449966, patricia, 57
a8:96:75:04:3c:84, 1542449598, 1542449971, patricia, 373
00:00:00:02:02:02, 1542449892, 1542449983, patricia, 91
00:00:00:02:02:02, 1542449959, 1542449983, patricia, 24
7e:23:5f:c1:43:f6, 1542449736, 1542450004, patricia, 268
d0:2b:20:55:a7:7f, 1542449627, 1542450025, patricia, 398
00:1d:29:a3:74:c1, 1542449883, 1542450035, patricia, 152
24:da:9b:62:36:52, 1542449492, 1542450075, patricia, 583
00:a0:57:1d:d1:03, 1542449925, 1542450084, patricia, 159
00:a0:57:1d:d1:03, 1542449990, 1542450084, patricia, 94
82:20:21:52:38:08, 1542449952, 1542450092, patricia, 140
82:20:21:52:38:08, 1542449989, 1542450092, patricia, 103
82:20:21:52:38:08, 1542450041, 1542450092, patricia, 51
82:20:21:52:38:08, 1542450075, 1542450092, patricia, 17
34:2d:0d:6a:9c:c7, 1542449132, 1542450154, patricia, 1022
34:2d:0d:6a:9c:c7, 1542449548, 1542450154, patricia, 606
34:2d:0d:6a:9c:c7, 1542449592, 1542450154, patricia, 562
34:2d:0d:6a:9c:c7, 1542449775, 1542450154, patricia, 379
34:2d:0d:6a:9c:c7, 1542449855, 1542450154, patricia, 299
